name,age,position,ovr_rating,pot_rating
Ronaldinho,25,CAM,95,88
Iker Casillas,24,GK,95,86
Gianluigi Buffon,27,GK,95,88
Adriano,23,ST,94,90
Petr Cech,23,GK,94,93
Ronaldo,28,ST,94,91
Wayne Rooney,19,ST,93,90
Andriy Shevchenko,28,ST,93,90
Samuel Eto'o,24,ST,93,87
Oliver Kahn,36,GK,93,89
ZÃ© Roberto,31,LWM,92,79
Roy Makaay,30,ST,92,90
David Trezeguet,27,ST,92,89
Thierry Henry,28,ST,92,88
Zinedine Zidane,33,CAM,92,90
Marcos,32,GK,91,83
Juninho,30,CAM,91,87
Vicente,24,LWM,91,83
MichaÃ«l Essien,22,CM,91,80
Zlatan Ibrahimovic,23,ST,91,88
C. Ronaldo,20,RWM,91,83
Steven Gerrard,25,CM,91,90
Pablo CÃ©sar Aimar,25,CAM,91,84
Ruud van Nistelrooy,29,ST,91,89
Rio Ferdinand,26,CB,91,85
Fernando Morientes,29,ST,91,85
Gianluca Zambrotta,28,LWB,91,84
Dida,31,GK,91,82
Paolo Maldini,37,CB,91,87
KakÃ¡,23,CAM,90,85
Robinho,21,ST,90,86
LÃºcio,27,CB,90,87
JuÃ¡n Carlos ValerÃ_n,30,CAM,90,87
John Terry,24,CB,90,83
Arjen Robben,21,LWM,90,84
Pavel Nedved,32,CAM,90,90
Jaap Stam,33,CB,90,85
Francesco Toldo,33,GK,90,79
GrÃ©gory Coupet,32,GK,90,91
Lilian Thuram,33,CB,90,87
Clarence Seedorf,29,CM,90,88
Filippo Inzaghi,32,ST,90,88
Alessandro Nesta,29,CB,90,87
Sol Campbell,30,CB,90,81
Denilson,28,LWM,90,81
Dimitris Papadopoulos,23,ST,89,85
Marcelinho,30,CAM,89,83
Mahamadou Diarra,24,CM,89,84
RaÃºl,28,CF,89,89
JoaquÃ_n,24,RWM,89,82
Petrovici Teodor,26,ST,89,85
Carles Puyol,27,CB,89,86
Djibril CissÃ©,24,ST,89,85
Antonio Cassano,23,LS,89,86
Figo,32,RWM,89,83
Michael Owen,25,ST,89,87
MickaÃ«l Landreau,26,GK,89,86
Fabien Barthez,34,GK,89,89
Patrick Vieira,29,CDM,89,81
Francesco Totti,28,CAM,89,84
Fabio Cannavaro,31,CB,89,85
Alessandro Del Piero,30,CF,89,88
Manuel Cesar Rui Costa,33,CAM,89,82
Christian Vieri,32,ST,89,86
Christian WÃ¶rns,33,CB,89,84
Sebastian Deisler,25,RWM,89,82
David Beckham,30,RM,89,89
Lukas Podolski,20,CF,88,84
Marek Mintal,27,CF,88,88
Fabrizio Miccoli,26,ST,88,82
Jon Dahl Tomasson,28,ST,88,82
Jerzy Dudek,32,GK,88,82
IvÃ¡n Helguera,30,CB,88,86
Marcelo JosÃ© Bordon,29,CB,88,83
Daniel Van Buyten,27,CB,88,82
Timo Hildebrand,26,GK,88,83
HernÃ¡n Crespo,30,ST,88,85
Dennis Bergkamp,36,CF,88,83
Claude MakÃ©lelÃ©,32,CDM,88,71
Roberto FabiÃ¡n Ayala,32,CB,88,82
Alan Shearer,35,ST,88,88
Vyacheslav Malafeev,26,GK,87,78
Carlos Alberto Tevez,21,RF,87,83
Mariano DamiÃ¡n Barbosa,21,GK,87,79
Kolo Toure,24,CB,87,81
Deco,27,CAM,87,84
Jonathan Woodgate,25,CB,87,80
Diego ForlÃ¡n,26,ST,87,84
Fernando Meira,27,CB,87,85
Aliaksandr Hleb,24,CAM,87,82
ValÃ©rien IsmaÃ«l,31,CB,87,77
BenoÃ®t Pedretti,24,CM,87,86
Walter AdriÃ¡n Samuel,27,CB,87,83
Juan RomÃ¡n Riquelme,27,CAM,87,81
Shabani Nonda,28,ST,87,80
Paul Robinson,25,GK,87,88
Guti,28,CAM,87,83
Albert Luque,27,LWM,87,84
MÃ_chel Salgado,29,RB,87,87
Olivier Monterrubio,29,LWM,87,80
Alberto Gilardino,23,ST,87,86
Santiago CaÃ±izares,35,GK,87,84
Cafu,35,RB,87,84
Rivaldo,33,CF,87,85
Gennaro Ivan Gattuso,27,RM,87,79
Shay Given,31,GK,87,75
Robert Pires,32,LM,87,86
Roberto Carlos,32,LWB,87,82
Willy Sagnol,28,RWB,87,83
Paul Scholes,30,CAM,87,88
Sasa Ilic,27,CM,86,79
Igor Akinfeev,19,GK,86,81
Ruben Baraja,30,CDM,86,85
Gabriel A. Milito,24,CB,86,84
Ricardinho,29,CAM,86,81
LuÃ_s Fabiano,24,ST,86,84
Bennedict Saul McCarthy,27,ST,86,85
Andrade,27,CB,86,85
JosÃ© Antonio Reyes,21,ST,86,84
Luis GarcÃ_a,27,CF,86,84
Molina,35,GK,86,84
Victor ValdÃ©s,23,GK,86,83
Milan Baros,23,ST,86,83
Patrice Evra,24,LWB,86,79
Edwin Van der Sar,34,GK,86,83
Xabi Alonso,23,CM,86,82
Tomas Ujfalusi,27,CB,86,83
Christoph Metzelder,24,RB,86,83
John Carew,25,ST,86,86
Mario Yepes,29,CB,86,80
Pablo Ã“scar Cavallero,31,GK,86,82
Mladen Krstajic,31,CB,86,81
Carlos Marchena,26,CB,86,83
TomÃ¡s Rosicky,24,CAM,86,84
Andrea Pirlo,26,CM,86,85
William Gallas,28,CB,86,81
Alvaro Recoba,29,CF,86,84
Michael Ballack,28,CM,86,85
Ricardo Carvalho,27,CB,86,82
Shaun Wright-Phillips,23,RWM,86,80
RaÃºl Tamudo,27,ST,86,82
Roman Weidenfeller,25,GK,86,79
Carlo Cudicini,31,GK,86,85
Marco Di Vaio,29,ST,86,82
JÃ©rÃ´me Rothen,27,LWM,86,79
Sergio Ramos,19,CB,85,83
Theodoros Zagorakis,33,CM,85,82
Ariel Miguel Ibagaza,28,CAM,85,82
Javier Mascherano,21,CDM,85,82
Diego,26,GK,85,83
Esteban MatÃ_as Cambiasso,25,CDM,85,80
Obafemi Martins,20,ST,85,83
CuauhtÃ©moc Blanco,32,CF,85,83
Cris,28,CB,85,78
Rodrigues Lopes Joao,39,ST,85,78
Philipp Lahm,21,LWB,85,74
Pauleta,32,CF,85,81
Damien Duff,26,LWM,85,74
Markus Babbel,32,CB,85,80
Aparecido R. CÃ©sar,30,LWM,85,77
Fabricio Coloccini,23,LB,85,83
Juan,26,CB,85,81
Ashley Cole,24,LB,85,81
Claudio Pizarro,26,ST,85,82
JosÃ© Reina,22,GK,85,78
RogÃ©rio Ceni,32,GK,85,81
Emmanuel Olisadebe,26,ST,85,84
John Arne Riise,24,LM,85,84
Fabian Ernst,26,CM,85,82
Gaizka Mendieta,31,RWM,85,81
Ivan Klasnic,25,ST,85,85
Lauren,28,RB,85,79
Antonis Nikopolidis,33,GK,85,84
Igor Tudor,27,CB,85,80
Eidur Gudjohnsen,26,ST,85,83
Frank Lampard,27,CM,85,85
Jamie Carragher,27,CB,85,79
