,name,age,position,ovr_rating,pot_rating
0,Lionel Messi,27,CF,94,97
1,Cristiano Ronaldo,29,LWLM,92,92
2,Zlatan Ibrahimović,32,ST,90,90
3,Luis Suárez,27,STCF,89,89
4,Falcao,28,ST,89,89
5,Franck Ribéry,31,LM,89,89
6,Robin van Persie,31,ST,89,89
7,Iniesta,30,CMLW,89,89
8,Eden Hazard,23,LMRM,88,90
9,Thiago Silva,29,CB,88,88
10,Sergio Agüero,26,ST,88,90
11,Bastian Schweinsteiger,30,CMCDM,88,88
12,Xavi,34,CM,88,88
13,Arjen Robben,30,RMLMRW,88,88
14,Edinson Cavani,27,STRW,87,89
15,Juan Mata,26,CAMRM,87,88
16,Mesut Özil,25,CAM,87,89
17,Gareth Bale,25,RMRW,87,91
18,David Silva,28,LMCAMRM,87,88
19,Manuel Neuer,28,GK,87,89
20,Philipp Lahm,30,CDMRBLBCM,87,87
21,Wayne Rooney,28,CFSTCAM,87,87
22,Robert Lewandowski,26,STCF,86,89
23,Ángel Di María,26,RMCM,86,88
24,Arturo Vidal,27,CM,86,88
25,Luka Modrić,29,CMCAMCDM,86,88
26,Cesc Fàbregas,27,CMCF,86,90
27,Sergio Ramos,28,CBRB,86,89
28,Piqué,27,CB,86,91
29,Carlos Tévez,30,ST,86,86
0,Vincent Kompany,28,CB,86,87
1,Yaya Touré,31,CMCDM,86,86
2,Casillas,33,GK,86,86
3,Mario Götze,22,CAMCFCMRM,85,92
4,Neymar,22,LWCFST,85,91
5,Thomas Müller,25,RMCAMSTLM,85,88
6,Sergio Busquets,26,CDM,85,89
7,Marco Reus,25,LMRMSTCAM,85,88
8,Mats Hummels,25,CB,85,88
9,Mehdi Benatia,27,CB,85,87
10,Karim Benzema,26,ST,85,87
11,Arda Turan,27,LMRMCAM,85,88
12,Nemanja Vidić,32,CB,85,85
13,Wesley Sneijder,30,CAMCMLM,85,85
14,Daniele De Rossi,31,CDM,85,85
15,Petr Čech,32,GK,85,85
16,Xabi Alonso,32,CDM,85,85
17,Isco,22,CAMLMCMCF,84,88
18,Thibaut Courtois,22,GK,84,88
19,Christian Eriksen,22,LMCAM,84,88
20,Pedro,27,LWRW,84,88
21,Hulk,28,RWSTRM,84,86
22,Oscar,23,CAMRM,84,87
