Team,Group,Squad Number,Position,Player,Date Of Birth,Age,Caps,Goals,Club,Player Count
Egypt,A,1,GK,Essam El-Hadary (captain),1/15/73,45,157,0,Al-Taawoun,1
Egypt,A,2,DF,Ali Gabr,1/1/89,29,20,1,West Bromwich Albion,1
Egypt,A,3,DF,Ahmed Elmohamady,9/9/87,30,77,2,Aston Villa,1
Egypt,A,4,MF,Omar Gaber,1/30/92,26,23,0,Los Angeles FC,1
Egypt,A,5,MF,Sam Morsy,9/10/91,26,4,0,Wigan Athletic,1
Egypt,A,6,DF,Ahmed Hegazi,1/25/91,27,44,1,West Bromwich Albion,1
Egypt,A,7,DF,Ahmed Fathy,11/10/84,33,125,3,Al Ahly,1
Egypt,A,8,MF,Tarek Hamed,10/24/88,29,20,0,Zamalek,1
Egypt,A,9,FW,Marwan Mohsen,2/26/89,29,23,4,Al Ahly,1
Egypt,A,10,FW,Mohamed Salah,6/15/92,25,57,33,Liverpool,1
Egypt,A,11,FW,Kahraba,4/13/94,24,18,3,Al-Ittihad,1
Egypt,A,12,DF,Ayman Ashraf,4/9/91,27,4,0,Al Ahly,1
Egypt,A,13,DF,Mohamed Abdel-Shafy,7/1/85,32,50,1,Al-Fateh,1
Egypt,A,14,FW,Ramadan Sobhi,1/23/97,21,22,1,Stoke City,1
Egypt,A,15,DF,Mahmoud Hamdy,6/1/95,23,0,0,Zamalek,1
Egypt,A,16,GK,Sherif Ekramy,7/10/83,34,22,0,Al Ahly,1
Egypt,A,17,MF,Mohamed Elneny,7/11/92,25,60,5,Arsenal,1
Egypt,A,18,FW,Shikabala,3/5/86,32,29,2,Al-Raed,1
Egypt,A,19,MF,Abdallah Said,7/13/85,32,35,6,KuPS,1
Egypt,A,20,DF,Saad Samir,4/1/89,29,11,0,Al Ahly,1
Egypt,A,21,MF,Trézéguet,10/1/94,23,23,2,Kasımpaşa,1
Egypt,A,22,FW,Amr Warda,9/17/93,24,15,0,Atromitos,1
Egypt,A,23,GK,Mohamed El-Shenawy,12/18/88,29,2,0,Al Ahly,1
Russia,A,1,GK,Igor Akinfeev (captain),4/8/86,32,105,0,CSKA Moscow,1
Russia,A,2,DF,Mário Fernandes,9/19/90,27,4,0,CSKA Moscow,1
Russia,A,3,DF,Ilya Kutepov,7/29/93,24,6,0,Spartak Moscow,1
Russia,A,4,DF,Sergei Ignashevich,7/14/79,38,121,8,CSKA Moscow,1
Russia,A,5,DF,Andrei Semyonov,3/24/89,29,6,0,Akhmat Grozny,1
Russia,A,6,MF,Denis Cheryshev,12/26/90,27,11,0,Villarreal,1
Russia,A,7,MF,Daler Kuzyayev,1/15/93,25,5,0,Zenit Saint Petersburg,1
Russia,A,8,MF,Yury Gazinsky,7/20/89,28,5,0,Krasnodar,1
Russia,A,9,MF,Alan Dzagoev,6/17/90,27,56,9,CSKA Moscow,1
Russia,A,10,FW,Fyodor Smolov,2/9/90,28,31,12,Krasnodar,1
Russia,A,11,MF,Roman Zobnin,2/11/94,24,11,0,Spartak Moscow,1
Russia,A,12,GK,Andrey Lunyov,11/13/91,26,3,0,Zenit Saint Petersburg,1
Russia,A,13,DF,Fyodor Kudryashov,4/5/87,31,18,0,Rubin Kazan,1
Russia,A,14,DF,Vladimir Granat,5/22/87,31,12,1,Rubin Kazan,1
Russia,A,15,MF,Aleksei Miranchuk,10/17/95,22,17,4,Lokomotiv Moscow,1
Russia,A,16,MF,Anton Miranchuk,10/17/95,22,5,0,Lokomotiv Moscow,1
Russia,A,17,MF,Aleksandr Golovin,5/30/96,22,18,2,CSKA Moscow,1
Russia,A,18,MF,Yuri Zhirkov,8/20/83,34,83,2,Zenit Saint Petersburg,1
Russia,A,19,MF,Aleksandr Samedov,7/19/84,33,47,6,Spartak Moscow,1
Russia,A,20,GK,Vladimir Gabulov,10/19/83,34,10,0,Club Brugge,1
Russia,A,21,MF,Aleksandr Yerokhin,10/13/89,28,17,0,Zenit Saint Petersburg,1
Russia,A,22,FW,Artem Dzyuba,8/22/88,29,23,11,Arsenal Tula,1
Russia,A,23,DF,Igor Smolnikov,8/8/88,29,26,0,Zenit Saint Petersburg,1
Saudi Arabia,A,1,GK,Abdullah Al-Mayouf,1/23/87,31,10,0,Al-Hilal,1
Saudi Arabia,A,2,DF,Mansoor Al-Harbi,10/19/87,30,39,1,Al-Ahli,1
