,Team,Jun 10,Result
0,France,+700,**  WINNER  **
1,Brazil,+300,
2,Germany,+600,
3,Italy,+700,
4,Argentina,+900,
5,Netherlands,+900,
6,England,+1100,
7,Spain,+1300,
8,Yugoslavia,+2000,
9,Nigeria,+2500,
10,Norway,+3000,
11,Croatia,+4000,
12,Romania,+5000,
13,Bulgaria,+6600,
14,Colombia,+6600,
15,Denmark,+6600,
16,Chile,+7000,
17,Belgium,+8000,
18,Paraguay,+8000,
19,Mexico,+10000,
20,South Africa,+12500,
21,Austria,+15000,
22,Cameroon,+15000,
23,Scotland,+15000,
24,USA,+15000,
25,Japan,+25000,
26,Morocco,+30000,
27,Saudi Arabia,+35000,
28,South Korea,+35000,
29,Tunisia,+35000,
30,Jamaica,+40000,
31,Iran,+60000,
