,Team,May 31,Result
0,Brazil,+600,**  WINNER  **
1,Argentina,+400,
2,France,+400,
3,Italy,+500,
4,Spain,+900,
5,England,+1400,
6,Portugal,+1400,
7,Germany,+1600,
8,Cameroon,+5000,
9,Paraguay,+5000,
10,Russia,+5000,
11,Japan,+6000,
12,Poland,+6000,
13,Croatia,+7500,
14,Nigeria,+7500,
15,Republic of Ireland,+7500,
16,Sweden,+7500,
17,Turkey,+7500,
18,Uruguay,+7500,
19,Belgium,+8000,
20,Denmark,+10000,
21,Ecuador,+12500,
22,Mexico,+12500,
23,Korea,+15000,
24,Slovenia,+15000,
25,USA,+15000,
26,Senegal,+20000,
27,Costa Rica,+30000,
28,South Africa,+30000,
29,Tunisia,+30000,
30,Saudi Arabia,+50000,
31,China,+75000,
