,Team,"Jul 1, 2009","Jan 1, 2010","Jun 10, 2010",Game 2,Game 3,Round of 16,Quarters,Semis,Finals,Result
0,Spain,+450,+400,+350,+500,+400,+350,+250,+190,-182,**  WINNER  **
1,Netherlands,+1200,+1200,+900,+800,+800,+650,+700,+210,+140,
2,Germany,+1000,+1100,+1100,+700,+800,+1100,+600,+190,,
3,Uruguay,+10000,+6600,+10000,+5000,+3300,+1800,+1600,+1200,,
4,Brazil,+450,+500,+450,+450,+400,+300,+225,,,
5,Argentina,+500,+800,+650,+550,+450,+400,+400,,,
6,Ghana,+8000,+6600,+10000,+6600,+10000,+5000,+4000,,,
7,Paraguay,,+4000,+6600,+6600,+3300,+4000,+5000,,,
8,England,+800,+550,+650,+800,+1000,+1100,,,,
9,Portugal,+3300,+2500,+2500,+2500,+2000,+2200,,,,
10,USA,+6600,+6600,+6600,+6600,+8000,+3300,,,,
11,Chile,+8000,+4000,+6600,+4000,+4000,+4000,,,,
12,Mexico,+10000,+6600,+6600,+10000,+3300,+6600,,,,
13,Japan,+15000,+20000,+30000,+20000,+25000,+8000,,,,
14,South Korea,,+20000,+25000,+12500,+15000,+12500,,,,
15,Slovakia,,+15000,+25000,+50000,+75000,+15000,,,,
16,Italy,+1100,+1000,+1200,+1400,+2000,,,,,
17,Serbia,+5000,+6600,+5000,+15000,+6600,,,,,
18,France,+2000,+1400,+1600,+2500,+15000,,,,,
19,Switzerland,+15000,+12500,+20000,+12500,+15000,,,,,
20,Denmark,+6600,+8000,+10000,+20000,+15000,,,,,
21,Slovenia,,+15000,+25000,+25000,+20000,,,,,
22,Nigeria,+8000,+8000,+10000,+20000,+30000,,,,,
23,Greece,+10000,+10000,+15000,+50000,+30000,,,,,
24,Australia,+10000,+12500,+12500,+50000,+50000,,,,,
25,Ivory Coast,+4000,+2500,+4000,+4000,+75000,,,,,
26,South Africa,+8000,+10000,+10000,+50000,+75000,,,,,
27,New Zealand,,+100000,+100000,,+75000,,,,,
28,Algeria,,+25000,+50000,+150000,+100000,,,,,
29,Honduras,,+30000,+50000,+150000,+100000,,,,,
30,Cameroon,+6600,+8000,+8000,+25000,,,,,,
31,North Korea,,+75000,+100000,+100000,,,,,,
32,Russia,+2500,,,,,,,,,
33,Croatia,6600,,,,,,,,,
34,Czech Republic,12500,,,,,,,,,
35,Republic of Ireland,+15000,,,,,,,,,
36,Turkey,15000,,,,,,,,,
37,Ukraine,20000,,,,,,,,,
38,Romania,+25000,,,,,,,,,
39,Sweden,25000,,,,,,,,,
