,Team,"Jul 1, 2015","Jun 10, 2016","Jan 1, 2017","Dec 5, 2017","Jun 14, 2018",Game 2,Game 3,Round of 16,Quarters,Semis,Finals,Result
0,Spain,+900,+900,+900,+750,+650,+450,+450,,,,,
1,Brazil,+1000,+825,+800,+500,+400,+405,+500,,,,,
2,Germany,+500,+600,+550,+475,+455,+825,+700,,,,,
3,Belgium,+2000,+1850,+1600,+1100,+1050,+850,+780,,,,,
4,France,+1200,+1200,+850,+600,+700,+700,+835,,,,,
5,England,+2600,+2250,+2000,+1800,+1650,+1200,+1000,,,,,
6,Croatia,+10000,+8000,+4000,+3800,+3500,+3300,+1500,,,,,
7,Portugal,+3400,+4000,+3000,+2700,+2300,+2000,+2000,,,,,
8,Argentina,+800,+800,+900,+900,+950,+1100,+2150,,,,,
9,Uruguay,+6500,+5000,+4000,+3800,+2800,+2700,+3000,,,,,
10,Mexico,+12000,+8000,+8000,+10000,+17500,+5000,+3500,,,,,
11,Russia,+3400,+3300,+3300,+4000,+7500,+4000,+5000,,,,,
12,Colombia,+2600,+3250,+3300,+4000,+4500,+8000,+5000,,,,,
13,Switzerland,+10000,+9000,+10000,+9000,+15000,+10000,+5000,,,,,
14,Denmark,+22500,+20000,+20000,+8000,+10000,+9000,+9000,,,,,
15,Senegal,+100000,+75000,+75000,+15000,+21000,+8000,+10000,,,,,
16,Serbia,+20000,+17500,+10000,+15000,+15000,+12500,+20000,,,,,
17,Sweden,+25000,+15000,+20000,+10000,+32500,+15000,+20000,,,,,
18,Japan,+20000,+18000,+15000,+30000,+65000,+20000,+20000,,,,,
19,Nigeria,+25000,+20000,+15000,+22000,+30000,+50000,+30000,,,,,
20,Iceland,,+100000,+50000,+22000,+35000,+25000,+50000,,,,,
21,Australia,+100000,+100000,+50000,+40000,+75000,+75000,+75000,,,,,
22,Iran,,+200000,+150000,+50000,+85000,+65000,+100000,,,,,
23,South Korea,+30000,+30000,+25000,+75000,+65000,+100000,+200000,,,,,
24,Poland,+20000,+20000,+10000,+6000,+9000,+12500,,,,,,
25,Peru,+75000,+125000,+150000,+15000,+18000,+30000,,,,,,
26,Costa Rica,+50000,+55000,+50000,+40000,+80000,+85000,,,,,,
27,Tunisia,,,,+75000,+90000,+150000,,,,,,
28,Morocco,,+50000,+50000,+50000,+40000,+200000,,,,,,
29,Egypt,+75000,+65000,+50000,+20000,+32500,+250000,,,,,,
30,Panama,,+150000,+150000,+100000,+150000,+350000,,,,,,
31,Saudi Arabia,,,+100000,+100000,+150000,+500000,,,,,,
32,Italy,+1700,+1850,+1700,,,,,,,,,
33,Netherlands,+1800,+2500,+3300,,,,,,,,,
34,Chile,+5000,+4000,+4000,,,,,,,,,
35,USA,+10000,+9000,+8000,,,,,,,,,
36,Ukraine,+20000,+10000,+10000,,,,,,,,,
37,Czech Republic,+20000,+10000,+15000,,,,,,,,,
38,Turkey,+20000,+12500,+15000,,,,,,,,,
39,Bosnia & Herzegovina,+20000,+15000,+15000,,,,,,,,,
40,Ivory Coast,+25000,+20000,+15000,,,,,,,,,
41,Wales,+75000,+50000,+15000,,,,,,,,,
42,Ghana,+25000,+20000,+20000,,,,,,,,,
43,Ecuador,+30000,+25000,+20000,,,,,,,,,
44,Austria,+50000,+20000,+25000,,,,,,,,,
45,Greece,+45000,+25000,+25000,,,,,,,,,
46,Montenegro,+50000,+25000,+25000,,,,,,,,,
47,Paraguay,+30000,+30000,+25000,,,,,,,,,
48,Republic of Ireland,+75000,+75000,+25000,,,,,,,,,
49,Algeria,+50000,+28500,+30000,,,,,,,,,
50,Romania,+45000,+30000,+30000,,,,,,,,,
51,Hungary,+55000,+35000,+35000,,,,,,,,,
52,Cameroon,+40000,+35000,+40000,,,,,,,,,
53,Norway,+35000,+27500,+50000,,,,,,,,,
54,Slovakia,+50000,+50000,+50000,,,,,,,,,
55,Venezuela,+50000,+50000,+50000,,,,,,,,,
56,Bolivia,+55000,+50000,+50000,,,,,,,,,
57,Slovenia,,+75000,+50000,,,,,,,,,
58,Northern Ireland,+250000,+250000,+75000,,,,,,,,,
59,Armenia,,+75000,+100000,,,,,,,,,
60,Bulgaria,+100000,+100000,+100000,,,,,,,,,
61,Israel,,+100000,+100000,,,,,,,,,
62,Latvia,,+100000,+100000,,,,,,,,,
63,Finland,+50000,+50000,+150000,,,,,,,,,
64,Scotland,+150000,+100000,+150000,,,,,,,,,
65,Belarus,,+100000,+150000,,,,,,,,,
66,Honduras,,+150000,+150000,,,,,,,,,
67,Qatar,,,+175000,,,,,,,,,
68,New Zealand,,+200000,+200000,,,,,,,,,
69,Cyprus,,+100000,+250000,,,,,,,,,
70,Canada,+100000,+50000,,,,,,,,,,
71,FYR Macedonia,,+75000,,,,,,,,,,
72,Jamaica,,+100000,,,,,,,,,,
73,Lithuania,,+100000,,,,,,,,,,
74,Moldova,,+100000,,,,,,,,,,
