,team,final_line,year
0,Argentina,+300,1986
1,Brazil,+250,1986
2,France,+350,1986
3,England,+400,1986
4,Uruguay,+450,1986
5,Mexico,+500,1986
6,Italy,+600,1986
7,Denmark,+800,1986
8,West Germany,+1000,1986
9,Spain,+1200,1986
10,Soviet Union,+1300,1986
11,Hungary,+1500,1986
12,Belgium,+1800,1986
13,Poland,+2000,1986
14,Paraguay,+2200,1986
15,Scotland,+2500,1986
16,Portugal,+2800,1986
17,Bulgaria,+3500,1986
18,Northern Ireland,+5000,1986
19,South Korea,+7500,1986
20,Algeria,+10000,1986
21,Morocco,+15000,1986
22,Iraq,+20000,1986
23,Canada,+35000,1986
24,West Germany,+600,1990
25,Italy,+250,1990
26,Brazil,+450,1990
27,Netherlands,+450,1990
28,Argentina,+800,1990
29,Soviet Union,+1200,1990
30,England,+1400,1990
31,Spain,+1400,1990
32,Belgium,+2500,1990
33,Uruguay,+2500,1990
34,Yugoslavia,+2500,1990
35,Republic of Ireland,+3300,1990
36,Scotland,+3300,1990
37,Sweden,+3300,1990
38,Austria,+5000,1990
39,Colombia,+5000,1990
40,Czechoslovakia,+6600,1990
41,Romania,+6600,1990
42,Cameroon,+25000,1990
43,Egypt,+25000,1990
44,South Korea,+25000,1990
45,Costa Rico,+50000,1990
46,United Arab Emirates,+50000,1990
47,USA,+50000,1990
48,Brazil,+250,1994
49,Germany,+300,1994
50,Italy,+350,1994
51,Argentina,+600,1994
52,Netherlands,+1000,1994
53,Colombia,+1200,1994
54,Bolivia,+2000,1994
55,Russia,+2000,1994
56,Spain,+2000,1994
57,Belgium,+2200,1994
58,Norway,+2500,1994
59,Sweden,+2500,1994
60,Mexico,+3000,1994
61,Republic of Ireland,+3000,1994
62,Switzerland,+4000,1994
63,USA,+4000,1994
64,Bulgaria,+5000,1994
65,Cameroon,+5000,1994
66,Romania,+5000,1994
67,Greece,+7500,1994
68,Morocco,+7500,1994
69,Nigeria,+7500,1994
70,Saudi Arabia,+10000,1994
71,South Korea,+10000,1994
72,France,+700,1998
73,Brazil,+300,1998
74,Germany,+600,1998
75,Italy,+700,1998
76,Argentina,+900,1998
77,Netherlands,+900,1998
78,England,+1100,1998
79,Spain,+1300,1998
80,Yugoslavia,+2000,1998
81,Nigeria,+2500,1998
82,Norway,+3000,1998
83,Croatia,+4000,1998
84,Romania,+5000,1998
85,Bulgaria,+6600,1998
86,Colombia,+6600,1998
87,Denmark,+6600,1998
88,Chile,+7000,1998
89,Belgium,+8000,1998
90,Paraguay,+8000,1998
91,Mexico,+10000,1998
92,South Africa,+12500,1998
93,Austria,+15000,1998
94,Cameroon,+15000,1998
95,Scotland,+15000,1998
96,USA,+15000,1998
97,Japan,+25000,1998
98,Morocco,+30000,1998
99,Saudi Arabia,+35000,1998
100,South Korea,+35000,1998
101,Tunisia,+35000,1998
102,Jamaica,+40000,1998
103,Iran,+60000,1998
104,Brazil,+600,2002
105,Argentina,+400,2002
106,France,+400,2002
107,Italy,+500,2002
108,Spain,+900,2002
109,England,+1400,2002
110,Portugal,+1400,2002
111,Germany,+1600,2002
112,Cameroon,+5000,2002
113,Paraguay,+5000,2002
114,Russia,+5000,2002
115,Japan,+6000,2002
116,Poland,+6000,2002
117,Croatia,+7500,2002
118,Nigeria,+7500,2002
119,Republic of Ireland,+7500,2002
120,Sweden,+7500,2002
121,Turkey,+7500,2002
122,Uruguay,+7500,2002
123,Belgium,+8000,2002
124,Denmark,+10000,2002
125,Ecuador,+12500,2002
126,Mexico,+12500,2002
127,Korea,+15000,2002
128,Slovenia,+15000,2002
129,USA,+15000,2002
130,Senegal,+20000,2002
131,Costa Rica,+30000,2002
132,South Africa,+30000,2002
133,Tunisia,+30000,2002
134,Saudi Arabia,+50000,2002
135,China,+75000,2002
136,Italy,+800,2006
137,Brazil,+250,2006
138,Germany,+600,2006
139,England,+700,2006
140,Argentina,+800,2006
141,Netherlands,+1000,2006
142,France,+1200,2006
143,Spain,+1500,2006
144,Portugal,+1800,2006
145,Czech Republic,+2000,2006
146,Sweden,+3000,2006
147,Mexico,+3500,2006
148,Ukraine,+4000,2006
149,Croatia,+5000,2006
150,USA,+5000,2006
151,Ivory Coast,+8000,2006
152,Serbia & Montenegro,+8000,2006
153,Australia,+10000,2006
154,Poland,+10000,2006
155,Switzerland,+10000,2006
156,Ghana,+15000,2006
157,Japan,+15000,2006
158,Paraguay,+15000,2006
159,Ecuador,+20000,2006
160,Korea Republic,+20000,2006
161,Tunisia,+20000,2006
162,Togo,+25000,2006
163,Angola,+30000,2006
164,Costa Rica,+30000,2006
165,Iran 30000,+30000,2006
166,Trinidad & Tobago,+30000,2006
167,Saudi Arabia,+50000,2006
168,Spain,+350,2010
169,Netherlands,+900,2010
170,Germany,+1100,2010
171,Uruguay,+10000,2010
172,Brazil,+450,2010
173,Argentina,+650,2010
174,Ghana,+10000,2010
175,Paraguay,+6600,2010
176,England,+650,2010
177,Portugal,+2500,2010
178,USA,+6600,2010
179,Chile,+6600,2010
180,Mexico,+6600,2010
181,Japan,+30000,2010
182,South Korea,+25000,2010
183,Slovakia,+25000,2010
184,Italy,+1200,2010
185,Serbia,+5000,2010
186,France,+1600,2010
187,Switzerland,+20000,2010
188,Denmark,+10000,2010
189,Slovenia,+25000,2010
190,Nigeria,+10000,2010
191,Greece,+15000,2010
192,Australia,+12500,2010
193,Ivory Coast,+4000,2010
194,South Africa,+10000,2010
195,New Zealand,+100000,2010
196,Algeria,+50000,2010
197,Honduras,+50000,2010
198,Cameroon,+8000,2010
199,North Korea,+100000,2010
208,Germany,+600,2014
209,Argentina,+400,2014
210,Brazil,+275,2014
211,Netherlands,+3300,2014
212,France,+2200,2014
213,Belgium,+1800,2014
214,Colombia,+3300,2014
215,Costa Rica,+100000,2014
216,Chile,+4000,2014
217,Mexico,+15000,2014
218,Uruguay,+2800,2014
219,USA,+12500,2014
220,Switzerland,+10000,2014
221,Greece,+20000,2014
222,Nigeria,+20000,2014
223,Algeria,+75000,2014
224,Italy,+2200,2014
225,Portugal,+2500,2014
226,Ivory Coast,+12500,2014
227,Croatia,+15000,2014
228,Russia,+8000,2014
229,Ecuador,+15000,2014
230,Ghana,+20000,2014
231,Japan,+12500,2014
232,South Korea,+30000,2014
233,Iran,+150000,2014
234,Spain,+600,2014
235,England,+2800,2014
236,Bosnia & Herzegovina,+15000,2014
237,Cameroon,+50000,2014
238,Australia,+75000,2014
239,Honduras,+100000,2014
267,Spain,+650,2018
268,Brazil,+400,2018
269,Germany,+455,2018
270,Belgium,+1050,2018
271,France,+700,2018
272,England,+1650,2018
273,Croatia,+3500,2018
274,Portugal,+2300,2018
275,Argentina,+950,2018
276,Uruguay,+2800,2018
277,Mexico,+17500,2018
278,Russia,+7500,2018
279,Colombia,+4500,2018
280,Switzerland,+15000,2018
281,Denmark,+10000,2018
282,Senegal,+21000,2018
283,Serbia,+15000,2018
284,Sweden,+32500,2018
285,Japan,+65000,2018
286,Nigeria,+30000,2018
287,Iceland,+35000,2018
288,Australia,+75000,2018
289,Iran,+85000,2018
290,South Korea,+65000,2018
291,Poland,+9000,2018
292,Peru,+18000,2018
293,Costa Rica,+80000,2018
294,Tunisia,+90000,2018
295,Morocco,+40000,2018
296,Egypt,+32500,2018
297,Panama,+150000,2018
298,Saudi Arabia,+150000,2018
