,country,temp_in_celcius,rain_mm_per_year,gdp(millions_dollars),population,gdp(dollars),gdp_dollar_per_person
0.00,Burkina Faso,28.25,748.00,13187.00,19751651.00,13187000000.00,667.64
1.00,Mali,28.25,282.00,14998.00,19107706.00,14998000000.00,784.92
2.00,Djibouti,28.00,220.00,2082.00,971408.00,2082000000.00,2143.28
3.00,Senegal,27.85,686.00,16057.00,16294270.00,16057000000.00,985.44
4.00,Mauritania,27.65,92.00,4985.00,4540068.00,4985000000.00,1098.00
5.00,Maldives,27.65,1972.00,4520.00,444259.00,4520000000.00,10174.25
6.00,Benin,27.55,1039.00,9410.00,11485674.00,9410000000.00,819.28
7.00,The Gambia,27.50,836.00,1038.00,2163765.00,1038000000.00,479.72
8.00,Ghana,27.20,1187.00,47032.00,29463643.00,47032000000.00,1596.27
9.00,Bahrain,27.15,83.00,34895.00,1566993.00,34895000000.00,22268.77
10.00,Niger,27.15,151.00,7892.00,22311375.00,7892000000.00,353.72
11.00,Qatar,27.15,74.00,166326.00,2694849.00,166000000000.00,61719.97
12.00,Seychelles,27.15,2330.00,1479.00,95235.00,1479000000.00,15530.00
13.00,Togo,27.15,1168.00,4797.00,7990926.00,4797000000.00,600.31
14.00,United Arab Emirates,27.00,78.00,377435.00,9541615.00,377000000000.00,39556.72
15.00,Sri Lanka,26.95,1712.00,87591.00,20950041.00,87591000000.00,4180.95
16.00,Sudan,26.90,416.00,58239.00,41511526.00,58239000000.00,1402.96
17.00,Brunei,26.85,2722.00,11963.00,434076.00,11963000000.00,27559.69
18.00,Cambodia,26.80,1904.00,22252.00,16245729.00,22252000000.00,1369.71
19.00,Nigeria,26.80,1150.00,376284.00,195875237.00,376000000000.00,1921.04
20.00,Guinea-Bissau,26.75,1577.00,1295.00,1907268.00,1295000000.00,678.98
21.00,Grenada,26.65,2350.00,1111.00,108339.00,1111000000.00,10254.85
22.00,Chad,26.55,322.00,9740.00,15353184.00,9740000000.00,634.40
23.00,Singapore,26.45,2497.00,323902.00,5791901.00,324000000000.00,55923.26
24.00,Ivory Coast,26.35,1348.00,40360.00,24905843.00,40360000000.00,1620.50
25.00,Thailand,26.30,1622.00,455378.00,69183173.00,455000000000.00,6582.21
26.00,Sierra Leone,26.05,2526.00,3897.00,7719729.00,3897000000.00,504.81
27.00,Antigua and Barbuda,26.00,1030.00,1535.00,103050.00,1535000000.00,14895.68
28.00,Barbados,26.00,1422.00,4821.00,286388.00,4821000000.00,16833.81
29.00,Guyana,26.00,2387.00,3591.00,782225.00,3591000000.00,4590.75
30.00,Indonesia,25.85,2702.00,1015411.00,266794980.00,1020000000000.00,3805.96
31.00,Philippines,25.85,2348.00,313419.00,106512074.00,313000000000.00,2942.57
32.00,Trinidad and Tobago,25.75,2200.00,20300.00,1372598.00,20300000000.00,14789.47
33.00,Guinea,25.70,1651.00,9183.00,13052608.00,9183000000.00,703.54
34.00,Suriname,25.70,2331.00,3665.00,568301.00,3665000000.00,6449.05
35.00,Solomon Islands,25.65,3028.00,1273.00,623281.00,1273000000.00,2042.42
36.00,Oman,25.60,125.00,74274.00,4829946.00,74274000000.00,15377.81
37.00,Comoros,25.55,900.00,659.00,832347.00,659000000.00,791.74
38.00,Eritrea,25.50,384.00,6050.00,5187948.00,6050000000.00,1166.16
39.00,Malaysia,25.40,2875.00,314497.00,32042458.00,314000000000.00,9815.01
40.00,Panama,25.40,2692.00,61838.00,4162618.00,61838000000.00,14855.55
41.00,Belize,25.30,1705.00,1819.00,382444.00,1819000000.00,4756.25
42.00,Kuwait,25.35,121.00,120351.00,4197128.00,120000000000.00,28674.61
43.00,Venezuela,25.35,1875.00,210085.00,32381221.00,210000000000.00,6487.87
44.00,Liberia,25.30,2391.00,2140.00,4853516.00,2140000000.00,440.92
45.00,Papua New Guinea,25.25,3142.00,23617.00,8418346.00,23617000000.00,2805.42
46.00,Gabon,25.05,1831.00,14467.00,2067561.00,14467000000.00,6997.13
47.00,Bangladesh,25.00,2666.00,261374.00,166368149.00,261000000000.00,1571.06
48.00,Brazil,24.95,1782.00,2054969.00,210867954.00,2050000000000.00,9745.29
49.00,Jamaica,24.95,2051.00,14290.00,2898677.00,14290000000.00,4929.84
50.00,Central African Republic,24.90,1343.00,1992.00,4737423.00,1992000000.00,420.48
51.00,Haiti,24.90,1440.00,8360.00,11112945.00,8360000000.00,752.28
52.00,Vietnam,24.45,1821.00,220408.00,96491146.00,220000000000.00,2284.23
