,home,away,league,game_id,season,temp,weather_desc,date
0,Russia,Saudi Arabia,World_Cup_Russia,277228,2018,10C,Cloudy,14-Jun-18
1,Egypt,Uruguay,World_Cup_Russia,277229,2018,10C,Sunny,15-Jun-18
2,Morocco,Iran,World_Cup_Russia,277234,2018,15C,Cloudy,15-Jun-18
3,Portugal,Spain,World_Cup_Russia,277235,2018,23C,Cloudy,15-Jun-18
4,France,Australia,World_Cup_Russia,277248,2018,10C,Sunny,16-Jun-18
5,Argentina,Iceland,World_Cup_Russia,277254,2018,12C,Sunny,16-Jun-18
6,Peru,Denmark,World_Cup_Russia,277249,2018,14C,Sunny,16-Jun-18
7,Croatia,Nigeria,World_Cup_Russia,277255,2018,16C,Cloudy,16-Jun-18
8,Costa Rica,Serbia,World_Cup_Russia,277260,2018,14C,Sunny,17-Jun-18
9,Germany,Mexico,World_Cup_Russia,277266,2018,16C,Cloudy,17-Jun-18
10,Brazil,Switzerland,World_Cup_Russia,277261,2018,20C,Breezy,17-Jun-18
11,Sweden,South Korea,World_Cup_Russia,277267,2018,16C,Sunny,18-Jun-18
12,Belgium,Panama,World_Cup_Russia,277272,2018,19C,Cloudy,18-Jun-18
13,Tunisia,England,World_Cup_Russia,277273,2018,18C,Sunny,18-Jun-18
14,Colombia,Japan,World_Cup_Russia,277279,2018,16C,Sunny,19-Jun-18
15,Poland,Senegal,World_Cup_Russia,277278,2018,20C,Cloudy,19-Jun-18
16,Russia,Egypt,World_Cup_Russia,277230,2018,13C,Cloudy,19-Jun-18
17,Portugal,Morocco,World_Cup_Russia,277236,2018,16C,Sunny,20-Jun-18
18,Uruguay,Saudi Arabia,World_Cup_Russia,277231,2018,20C,Sunny,20-Jun-18
19,Iran,Spain,World_Cup_Russia,277237,2018,20C,Cloudy,20-Jun-18
20,Denmark,Australia,World_Cup_Russia,277251,2018,17C,Sunny,21-Jun-18
21,France,Peru,World_Cup_Russia,277250,2018,13C,Sunny,21-Jun-18
22,Argentina,Croatia,World_Cup_Russia,277256,2018,16C,Sunny,21-Jun-18
23,Brazil,Costa Rica,World_Cup_Russia,277262,2018,17C,Showers,22-Jun-18
24,Nigeria,Iceland,World_Cup_Russia,277257,2018,22C,Sunny,22-Jun-18
25,Serbia,Switzerland,World_Cup_Russia,277263,2018,12C,Breezy,22-Jun-18
26,Belgium,Tunisia,World_Cup_Russia,277274,2018,17C,Cloudy,23-Jun-18
27,South Korea,Mexico,World_Cup_Russia,277269,2018,26C,Cloudy,23-Jun-18
28,Germany,Sweden,World_Cup_Russia,277268,2018,19C,Thunderstorms,23-Jun-18
29,England,Panama,World_Cup_Russia,277275,2018,22C,Cloudy,24-Jun-18
30,Japan,Senegal,World_Cup_Russia,277280,2018,17C,Sunny,24-Jun-18
31,Poland,Colombia,World_Cup_Russia,277281,2018,22C,Cloudy,24-Jun-18
32,Saudi Arabia,Egypt,World_Cup_Russia,277233,2018,23C,Cloudy,25-Jun-18
33,Uruguay,Russia,World_Cup_Russia,277232,2018,23C,Sunny,25-Jun-18
34,Iran,Portugal,World_Cup_Russia,277238,2018,22C,Cloudy,25-Jun-18
35,Spain,Morocco,World_Cup_Russia,277239,2018,11C,Cloudy,25-Jun-18
36,Denmark,France,World_Cup_Russia,277252,2018,16C,Sunny,26-Jun-18
37,Australia,Peru,World_Cup_Russia,277253,2018,21C,Cloudy,26-Jun-18
38,Nigeria,Argentina,World_Cup_Russia,277258,2018,13C,Sunny,26-Jun-18
39,Iceland,Croatia,World_Cup_Russia,277259,2018,23C,Cloudy,26-Jun-18
40,South Korea,Germany,World_Cup_Russia,277270,2018,22C,Cloudy,27-Jun-18
41,Mexico,Sweden,World_Cup_Russia,277271,2018,22C,Cloudy,27-Jun-18
42,Serbia,Brazil,World_Cup_Russia,277264,2018,18C,Cloudy,27-Jun-18
43,Switzerland,Costa Rica,World_Cup_Russia,277265,2018,18C,Cloudy,27-Jun-18
44,Japan,Poland,World_Cup_Russia,277282,2018,27C,Sunny,28-Jun-18
45,Senegal,Colombia,World_Cup_Russia,277283,2018,22C,Sunny,28-Jun-18
46,England,Belgium,World_Cup_Russia,277276,2018,16C,Cloudy,28-Jun-18
47,Panama,Tunisia,World_Cup_Russia,277277,2018,20C,Sunny,28-Jun-18
48,France,Argentina,World_Cup_Russia,289963,2018,18C,Sunny,30-Jun-18
49,Uruguay,Portugal,World_Cup_Russia,289905,2018,22C,Thunderstorms,30-Jun-18
50,Spain,Russia,World_Cup_Russia,289906,2018,19C,Cloudy,01-Jul-18
51,Croatia,Denmark,World_Cup_Russia,289964,2018,25C,Cloudy,01-Jul-18
52,Brazil,Mexico,World_Cup_Russia,290042,2018,24C,Sunny,02-Jul-18
53,Belgium,Japan,World_Cup_Russia,290329,2018,19C,Sunny,02-Jul-18
