,goals_for,goals_against,team,game_id,date
0,0,2,Watford,24,19Aug
1,3,3,Watford,24,12Aug
2,0,5,Watford,24,21May
3,4,3,Watford,24,15May
4,1,0,Watford,24,12May
5,2,0,Brighton & Hove Albion,24,19Aug
6,0,2,Brighton & Hove Albion,24,12Aug
7,1,1,Brighton & Hove Albion,24,07May
8,0,1,Brighton & Hove Albion,24,29Apr
9,2,0,Brighton & Hove Albion,24,21Apr
10,4,0,Manchester United,25,13Aug
11,2,1,Manchester United,25,08Aug
12,1,0,Manchester United,25,26Jul
13,1,1,Manchester United,25,23Jul
14,2,0,Manchester United,25,20Jul
15,2,0,Leicester City,25,19Aug
16,4,3,Leicester City,25,11Aug
17,,,Leicester City,25,19Jul
18,1,1,Leicester City,25,21May
19,1,6,Leicester City,25,18May
20,2,2,Chelsea,26,15Aug
21,2,3,Chelsea,26,12Aug
22,1,1,Chelsea,26,06Aug
23,1,2,Chelsea,26,29Jul
24,2,3,Chelsea,26,25Jul
25,1,1,Everton,26,21Aug
26,2,0,Everton,26,17Aug
27,2,1,Everton,26,15Aug
28,1,0,Everton,26,12Aug
29,0,1,Everton,26,03Aug
30,0,1,West Bromwich Albion,27,19Aug
31,1,0,West Bromwich Albion,27,12Aug
32,,,West Bromwich Albion,27,19Jul
33,2,1,West Bromwich Albion,27,21May
34,3,1,West Bromwich Albion,27,16May
35,1,0,Stoke City,27,19Aug
36,1,0,Stoke City,27,12Aug
37,0,1,Stoke City,27,21May
38,1,4,Stoke City,27,13May
39,2,2,Stoke City,27,06May
40,1,0,Liverpool,28,19Aug
41,1,2,Liverpool,28,15Aug
42,3,3,Liverpool,28,12Aug
43,1,1,Liverpool,28,02Aug
44,0,3,Liverpool,28,01Aug
45,4,3,Arsenal,28,11Aug
46,1,1,Arsenal,28,06Aug
47,1,2,Arsenal,28,30Jul
48,5,2,Arsenal,28,29Jul
49,1,1,Arsenal,28,19Jul
50,2,2,Tottenham Hotspur,29,15Aug
51,0,2,Tottenham Hotspur,29,13Aug
52,3,0,Tottenham Hotspur,29,29Jul
53,2,3,Tottenham Hotspur,29,25Jul
54,2,4,Tottenham Hotspur,29,22Jul
55,0,1,Burnley,29,19Aug
56,2,3,Burnley,29,12Aug
57,1,2,Burnley,29,21May
58,2,1,Burnley,29,13May
59,2,2,Burnley,29,06May
60,1,1,Manchester City,30,21Aug
61,1,1,Manchester City,30,15Aug
62,0,2,Manchester City,30,12Aug
63,3,0,Manchester City,30,29Jul
64,4,1,Manchester City,30,26Jul
65,4,2,Liverpool,30,23Aug
66,1,0,Liverpool,30,19Aug
67,1,2,Liverpool,30,15Aug
68,3,3,Liverpool,30,12Aug
69,1,1,Liverpool,30,02Aug
70,1,0,Arsenal,31,19Aug
71,4,3,Arsenal,31,11Aug
72,1,1,Arsenal,31,06Aug
73,1,2,Arsenal,31,30Jul
74,5,2,Arsenal,31,29Jul
75,1,2,Bournemouth,31,22Aug
76,0,2,Bournemouth,31,19Aug
77,1,0,Bournemouth,31,12Aug
78,1,1,Bournemouth,31,21May
79,2,1,Bournemouth,31,13May
80,0,0,Brighton & Hove Albion,32,26Aug
81,1,0,Brighton & Hove Albion,32,22Aug
82,2,0,Brighton & Hove Albion,32,19Aug
83,0,2,Brighton & Hove Albion,32,12Aug
84,1,1,Brighton & Hove Albion,32,07May
85,1,3,West Bromwich Albion,32,22Aug
86,0,1,West Bromwich Albion,32,19Aug
87,1,0,West Bromwich Albion,32,12Aug
88,,,West Bromwich Albion,32,19Jul
89,2,1,West Bromwich Albion,32,21May
90,1,1,Everton,33,24Aug
91,1,1,Everton,33,21Aug
92,2,0,Everton,33,17Aug
93,2,1,Everton,33,15Aug
94,1,0,Everton,33,12Aug
95,1,2,Tottenham Hotspur,33,20Aug
96,2,2,Tottenham Hotspur,33,15Aug
97,0,2,Tottenham Hotspur,33,13Aug
98,3,0,Tottenham Hotspur,33,29Jul
99,2,3,Tottenham Hotspur,33,25Jul
100,2,0,Leicester City,34,26Aug
101,1,4,Leicester City,34,22Aug
102,2,0,Leicester City,34,19Aug
103,4,3,Leicester City,34,11Aug
104,,,Leicester City,34,19Jul
105,1,2,Chelsea,34,20Aug
106,2,2,Chelsea,34,15Aug
107,2,3,Chelsea,34,12Aug
108,1,1,Chelsea,34,06Aug
109,1,2,Chelsea,34,29Jul
110,0,0,Southampton,35,26Aug
111,0,2,Southampton,35,23Aug
112,3,2,Southampton,35,19Aug
113,0,0,Southampton,35,12Aug
114,0,1,Southampton,35,21May
115,2,3,Watford,35,22Aug
116,0,2,Watford,35,19Aug
117,3,3,Watford,35,12Aug
118,0,5,Watford,35,21May
119,4,3,Watford,35,15May
120,1,1,Stoke City,36,27Aug
121,4,0,Stoke City,36,23Aug
122,1,0,Stoke City,36,19Aug
123,1,0,Stoke City,36,12Aug
124,0,1,Stoke City,36,21May
125,0,4,Manchester United,36,19Aug
126,4,0,Manchester United,36,13Aug
127,2,1,Manchester United,36,08Aug
128,1,0,Manchester United,36,26Jul
129,1,1,Manchester United,36,23Jul
130,0,2,Burnley,37,23Aug
131,0,1,Burnley,37,19Aug
132,2,3,Burnley,37,12Aug
133,1,2,Burnley,37,21May
134,2,1,Burnley,37,13May
135,2,1,Crystal Palace,37,22Aug
136,1,0,Crystal Palace,37,19Aug
137,0,3,Crystal Palace,37,12Aug
138,,,Crystal Palace,37,19Jul
139,2,0,Crystal Palace,37,21May
140,1,4,Swansea City,38,22Aug
141,0,4,Swansea City,38,19Aug
142,1,2,Swansea City,38,15Aug
143,0,0,Swansea City,38,12Aug
144,2,1,Swansea City,38,21May
145,3,0,Newcastle United,38,26Aug
146,2,3,Newcastle United,38,23Aug
147,1,0,Newcastle United,38,20Aug
148,0,2,Newcastle United,38,13Aug
149,3,0,Newcastle United,38,07May
150,0,2,West Ham United,39,23Aug
151,3,2,West Ham United,39,19Aug
152,2,3,West Ham United,39,15Aug
153,4,0,West Ham United,39,13Aug
154,1,2,West Ham United,39,21May
155,2,1,Huddersfield Town,39,23Aug
156,1,0,Huddersfield Town,39,20Aug
157,0,3,Huddersfield Town,39,12Aug
158,0,0,Huddersfield Town,39,29May
159,1,1,Huddersfield Town,39,17May
