,name,position,team,game_id,player_id
0,Subašić,XX,AS Monaco,0,39386
1,Sidibe,DF,AS Monaco,0,63254
2,Glik,DF,AS Monaco,0,31005
3,Jemerson,DF,AS Monaco,0,80756
4,Jorge,DF,AS Monaco,0,95762
5,Lopes,FW,AS Monaco,0,76765
6,João Moutinho,MF,AS Monaco,0,1159
7,Fabinho,DM,AS Monaco,0,73889
8,Lemar,MF,AS Monaco,0,81768
9,Falcao,FW,AS Monaco,0,4985
10,Mbappé,FW,AS Monaco,0,107095
11,Lafont,XX,Toulouse FC,0,107060
12,Amian,DF,Toulouse FC,0,105292
13,Yago,DF,Toulouse FC,0,63773
14,Jullien,DF,Toulouse FC,0,69598
15,Moubandje,DF,Toulouse FC,0,60636
16,Machach,MF,Toulouse FC,0,101555
17,Blin,DM,Toulouse FC,0,97259
18,Sangaré,MF,Toulouse FC,0,112348
19,Jean,FW,Toulouse FC,0,73964
20,Delort,FW,Toulouse FC,0,41327
21,Durmaz,FW,Toulouse FC,0,23606
22,Aréola,XX,Paris Saint-Germain FC,1,51211
23,Daniel Alves,DF,Paris Saint-Germain FC,1,941
24,Marquinhos,DF,Paris Saint-Germain FC,1,70255
25,Thiago Silva,DF,Paris Saint-Germain FC,1,16839
26,Kurzawa,DF,Paris Saint-Germain FC,1,53511
27,Verratti,MF,Paris Saint-Germain FC,1,44932
28,Thiago Motta,DM,Paris Saint-Germain FC,1,295
29,Rabiot,MF,Paris Saint-Germain FC,1,73635
30,Di Maria,FW,Paris Saint-Germain FC,1,5016
31,Cavani,FW,Paris Saint-Germain FC,1,6737
32,Pastore,AM,Paris Saint-Germain FC,1,21660
33,Gurtner,XX,Amiens SCF,1,46337
34,El Hajjam,DF,Amiens SCF,1,81749
35,Gouano,DF,Amiens SCF,1,61030
36,Bodmer,MF,Amiens SCF,1,2725
37,Adenon,DF,Amiens SCF,1,15498
38,Cissokho,DF,Amiens SCF,1,61024
39,Fofana,MF,Amiens SCF,1,110592
40,Ndombèlé Alvaro,MF,Amiens SCF,1,110596
41,Monconduit,DM,Amiens SCF,1,58347
42,Manzala,FW,Amiens SCF,1,103730
43,Koita,FW,Amiens SCF,1,117365
44,Lopes,XX,Olympique Lyonnais,2,51203
45,Rafael,DF,Olympique Lyonnais,2,25647
46,Marcelo,DF,Olympique Lyonnais,2,17121
47,Morel,DF,Olympique Lyonnais,2,2625
48,Marçal,DF,Olympique Lyonnais,2,67469
49,Tousart,DM,Olympique Lyonnais,2,103639
50,Sergi Darder,MF,Olympique Lyonnais,2,82232
51,Traore,FW,Olympique Lyonnais,2,67484
52,Fekir,AM,Olympique Lyonnais,2,82010
53,Depay,FW,Olympique Lyonnais,2,68281
54,Mariano,FW,Olympique Lyonnais,2,89032
55,Kamara,XX,RC Strasbourg,2,103904
56,Lala,DF,RC Strasbourg,2,62191
57,Mangane,DF,RC Strasbourg,2,12283
58,Salmier,DF,RC Strasbourg,2,110491
59,Martínez,DF,RC Strasbourg,2,81774
60,Aholou,DM,RC Strasbourg,2,85538
61,Da Costa,FW,RC Strasbourg,2,104478
62,Martin,MF,RC Strasbourg,2,51194
63,Liénard,MF,RC Strasbourg,2,111346
64,Corgnet,AM,RC Strasbourg,2,50881
65,Saadi,FW,RC Strasbourg,2,46170
66,Didillon,XX,FC Metz,3,103893
67,Balliu,DF,FC Metz,3,63988
68,Biševac,DF,FC Metz,3,5961
69,Falette,DF,FC Metz,3,66285
70,Assou Ekotto,DF,FC Metz,3,778
71,Diagne,DF,FC Metz,3,28322
72,Poblete,MF,FC Metz,3,62314
73,Jouffre,MF,FC Metz,3,15193
74,Cohade,MF,FC Metz,3,11220
75,Hein,MF,FC Metz,3,111007
76,Roux,FW,FC Metz,3,28351
77,Johnsson,XX,EA Guingamp,3,27032
78,Ikoko,DF,EA Guingamp,3,82743
79,Kerbrat,DF,EA Guingamp,3,61035
80,Sorbon,DF,EA Guingamp,3,11153
81,Rebocho,DF,EA Guingamp,3,101269
82,Camara,FW,EA Guingamp,3,35129
83,Déaux,DM,EA Guingamp,3,22343
84,Phiri,DM,EA Guingamp,3,78818
85,Coco,FW,EA Guingamp,3,98346
86,Briand,FW,EA Guingamp,3,2663
87,Salibur,FW,EA Guingamp,3,38607
88,Lecomte,XX,Montpellier-HSC,4,51234
89,Mukiele,DF,Montpellier-HSC,4,106875
90,Pedro Mendes,DF,Montpellier-HSC,4,66639
91,Congré,DF,Montpellier-HSC,4,5791
92,Roussillon,DF,Montpellier-HSC,4,55616
93,Skhiri,DM,Montpellier-HSC,4,93851
94,Lasne,MF,Montpellier-HSC,4,38560
95,Mbenza,FW,Montpellier-HSC,4,103641
96,Bérigaud,FW,Montpellier-HSC,4,50852
97,Ikoné,FW,Montpellier-HSC,4,105274
98,Camara,FW,Montpellier-HSC,4,2621
99,Vercoutre,XX,Stade Malherbe Caen,4,1264
100,Guilbert,DF,Stade Malherbe Caen,4,98543
101,Genevois,DF,Stade Malherbe Caen,4,15397
102,Djiku,DF,Stade Malherbe Caen,4,75891
103,Bessat,MF,Stade Malherbe Caen,4,11245
104,Delaplace,MF,Stade Malherbe Caen,4,48879
105,Avounou,MF,Stade Malherbe Caen,4,117368
106,Feret,AM,Stade Malherbe Caen,4,15387
107,Rodelin,FW,Stade Malherbe Caen,4,32238
108,Santini,FW,Stade Malherbe Caen,4,33266
109,Bazile,FW,Stade Malherbe Caen,4,30579
110,Ruffier,XX,AS Saint-Etienne,5,11267
111,Janko,DF,AS Saint-Etienne,5,93883
112,Théophile-Catherine,DF,AS Saint-Etienne,5,29589
113,Perrin,DF,AS Saint-Etienne,5,6789
114,Pierre-Gabriel,DF,AS Saint-Etienne,5,107063
115,Dabo,DM,AS Saint-Etienne,5,47559
116,Selnæs,DM,AS Saint-Etienne,5,60538
117,Diousse,DM,AS Saint-Etienne,5,96852
118,Tannane,FW,AS Saint-Etienne,5,73289
119,Bamba,FW,AS Saint-Etienne,5,96869
120,Hamouma,FW,AS Saint-Etienne,5,41212
121,Cardinale,XX,OGC Nice,5,85513
122,Souquet,DF,OGC Nice,5,41303
123,Dante,DF,OGC Nice,5,9099
124,Le Marchand,DF,OGC Nice,5,41029
125,Sarr,DF,OGC Nice,5,111035
126,Koziello,MF,OGC Nice,5,93852
127,Walter,DM,OGC Nice,5,77898
128,Lees-Melou,MF,OGC Nice,5,103598
129,Srarfi,FW,OGC Nice,5,115537
130,Eysseric,AM,OGC Nice,5,54253
131,Pléa,FW,OGC Nice,5,65937
132,Samassa,XX,ES Troyes AC,6,50868
133,Deplagne,DF,ES Troyes AC,6,53701
134,Vizcarrondo,DF,ES Troyes AC,6,10495
135,Hérelle,DF,ES Troyes AC,6,68900
136,Obiang,DF,ES Troyes AC,6,81760
137,Azamoum,MF,ES Troyes AC,6,103914
138,Dingomé,MF,ES Troyes AC,6,73554
139,Grandsir,FW,ES Troyes AC,6,108740
140,Nivet,AM,ES Troyes AC,6,2712
141,Darbion,MF,ES Troyes AC,6,22467
142,Niané,FW,ES Troyes AC,6,80384
143,Diallo,XX,Stade Rennais FC,6,42884
144,Traoré,DF,Stade Rennais FC,6,88262
145,Gnagnon,DF,Stade Rennais FC,6,106299
146,Bensebaini,DF,Stade Rennais FC,6,95735
147,Baal,DF,Stade Rennais FC,6,11183
148,Hunou,AM,Stade Rennais FC,6,79522
149,André,MF,Stade Rennais FC,6,28214
150,Bourigeaud,MF,Stade Rennais FC,6,90571
151,Maouassa,FW,Stade Rennais FC,6,103902
152,Sarr,FW,Stade Rennais FC,6,111005
153,Mubele,FW,Stade Rennais FC,6,98243
154,Maignan,XX,Lille OSC,7,81994
155,Edgar Ié,DF,Lille OSC,7,75774
156,Amadou,DM,Lille OSC,7,74398
157,Alonso,DF,Lille OSC,7,77052
158,Malcuit,DF,Lille OSC,7,47300
159,Thiago Mendes,MF,Lille OSC,7,79916
160,Ballo-Toure,DF,Lille OSC,7,105273
161,El-Ghazi,FW,Lille OSC,7,92965
162,Benzia,AM,Lille OSC,7,70642
163,Luiz Araújo,FW,Lille OSC,7,108919
164,De Préville,FW,Lille OSC,7,41128
165,Dupé,XX,FC Nantes,7,61027
166,Djidji,DF,FC Nantes,7,73529
167,Diego Carlos,DF,FC Nantes,7,104102
168,Pallois,DF,FC Nantes,7,51219
169,Dubois,DF,FC Nantes,7,89668
170,Kačaniklić,MF,FC Nantes,7,64670
171,Rongier,DM,FC Nantes,7,93214
172,Touré,DM,FC Nantes,7,82029
173,Iloki,FW,FC Nantes,7,95741
174,Sala,FW,FC Nantes,7,62170
175,Nakoulma,FW,FC Nantes,7,41703
176,Letellier,XX,Angers SCO,8,51107
177,Manceau,DF,Angers SCO,8,51109
178,Traore,DF,Angers SCO,8,14906
179,Thomas,DF,Angers SCO,8,22488
180,Capelle,MF,Angers SCO,8,73537
181,Santamaria,FW,Angers SCO,8,103910
182,Fulgini,MF,Angers SCO,8,103638
183,Coulibaly,MF,Angers SCO,8,103920
184,Mangani,DM,Angers SCO,8,559
185,Sunu,FW,Angers SCO,8,40755
186,Guillaume,FW,Angers SCO,8,93218
187,Costil,XX,FC Girondins de Bordeaux,8,11144
188,Sabaly,DF,FC Girondins de Bordeaux,8,80337
189,Toulalan,DM,FC Girondins de Bordeaux,8,1117
190,Jovanović,DF,FC Girondins de Bordeaux,8,101649
191,Pellenard,DF,FC Girondins de Bordeaux,8,85644
192,Vada,MF,FC Girondins de Bordeaux,8,107096
193,Lerager,MF,FC Girondins de Bordeaux,8,80963
194,Sankharé,MF,FC Girondins de Bordeaux,8,11617
195,Malcom,FW,FC Girondins de Bordeaux,8,89633
196,Mendy,FW,FC Girondins de Bordeaux,8,103919
197,Kamano,FW,FC Girondins de Bordeaux,8,93209
