Group,Home Team Name,Away Team Name,Team 1 Score,Team 2 Score,Home Result,Home Team Initials,Away Team Initials
A,Russia,Saudi Arabia,5,0,W,RUS,KSA
A,Egypt,Uruguay,0,1,L,EGY,URU
B,Morocco,Iran,0,1,L,MAR,IRN
B,Portugal,Spain,3,3,D,POR,ESP
C,France,Australia,2,1,W,FRA,AUS
D,Argentina,Iceland,1,1,D,ARG,ISL
C,Peru,Denmark,0,1,L,PER,DEN
D,Croatia,Nigeria,2,0,W,CRO,NGA
E,Costa Rica,Serbia,0,1,L,CRC,SRB
F,Germany,Mexico,0,1,L,GER,MEX
E,Brazil,Switzerland,1,1,D,BRA,SUI
F,Sweden,Korea Republic,1,0,W,SWE,KOR
G,Belgium,Panama,3,0,W,BEL,PAN
G,Tunisia,England,1,2,L,TUN,ENG
H,Colombia,Japan,1,2,L,COL,JPN
H,Poland,Senegal,1,2,L,POL,SEN
A,Russia,Egypt,3,1,W,RUS,EGY
B,Portugal,Morocco,1,0,W,POR,MAR
A,Uruguay,Saudi Arabia,1,0,W,URU,KSA
B,IR Iran,Spain,0,1,L,IRN,ESP
C,Denmark,Australia,1,1,D,DEN,AUS
C,France,Peru,1,0,W,FRA,PER
D,Argentina,Croatia,0,3,L,ARG,CRO
E,Brazil,Costa Rica,2,0,W,BRA,CRC
D,Nigeria,Iceland,2,0,W,NGA,ISL
E,Serbia,Switzerland,1,2,L,SRB,SUI
G,Belgium,Tunisia,5,2,W,BEL,TUN
F,Korea Republic,Mexico,1,2,L,KOR,MEX
F,Germany,Sweden,2,1,W,GER,SWE
G,England,Panama,6,1,W,ENG,PAN
H,Japan,Senegal,2,2,D,JPN,SEN
H,Poland,Colombia,0,3,L,POL,COL
A,Uruguay,Russia,3,0,W,URU,RUS
A,Saudi Arabia,Egypt,2,1,W,KSA,EGY
B,Spain,Morocco,2,2,D,ESP,MAR
B,IR Iran,Portugal,1,1,D,IRN,POR
C,Australia,Peru,0,2,L,AUS,PER
C,Denmark,France,0,0,D,DEN,FRA
D,Nigeria,Argentina,1,2,L,NGA,ARG
D,Iceland,Croatia,1,2,L,ISL,CRO
F,Korea Republic,Germany,2,0,W,KOR,GER
F,Mexico,Sweden,0,3,L,MEX,SWE
E,Serbia,Brazil,0,3,L,SRB,BRA
E,Switzerland,Costa Rica,2,2,D,SUI,CRC
H,Japan,Poland,0,1,L,JPN,POL
H,Senegal,Colombia,0,1,L,SEN,COL
G,Panama,Tunisia,1,2,L,PAN,TUN
G,England,Belgium,0,1,L,ENG,BEL
Round of 16,France,Argentina,4,3,W,FRA,ARG
Round of 16,Uruguay,Portugal,2,1,W,URU,POR
Round of 16,Spain,Russia,1,1,L,ESP,RUS
Round of 16,Croatia,Denmark,1,1,W,CRO,DEN
Round of 16,Brazil,Mexico,2,0,W,BRA,MEX
Round of 16,Belgium,Japan,3,2,W,BEL,JPN
Round of 16,Sweden,Switzerland,1,0,W,SWE,SUI
Round of 16,Colombia,England,1,1,L,COL,ENG
Quarter-finals,Uruguay,France,0,2,L,URU,FRA
Quarter-finals,Brazil,Belgium,1,2,L,BRA,BEL
Quarter-finals,Sweden,England,0,2,L,SWE,ENG
Quarter-finals,Russia,Croatia,2,2,L,RUS,CRO
Semi-finals,France,Belgium,1,0,W,FRA,BEL
Semi-finals,Croatia,England,2,1,W,CRO,ENG
Play-off for third place,Belgium,England,2,0,W,BEL,ENG
Final,France,Croatia,4,2,W,FRA,CRO
