,goals_for,goals_against,team,game_id
0,1.0,2.0,Arsenal,0
1,5.0,2.0,Arsenal,0
2,1.0,1.0,Arsenal,0
3,2.0,1.0,Arsenal,0
4,3.0,1.0,Arsenal,0
5,1.0,1.0,Leicester City,0
6,1.0,6.0,Leicester City,0
7,2.0,1.0,Leicester City,0
8,3.0,0.0,Leicester City,0
9,0.0,1.0,Leicester City,0
10,4.0,3.0,Watford,1
11,1.0,0.0,Watford,1
12,3.0,0.0,Watford,1
13,0.0,1.0,Watford,1
14,2.0,0.0,Watford,1
15,0.0,3.0,Liverpool,1
16,,,Liverpool,1
17,3.0,0.0,Liverpool,1
18,0.0,4.0,Liverpool,1
19,0.0,0.0,Liverpool,1
20,1.0,2.0,Chelsea,2
21,2.0,3.0,Chelsea,2
22,2.0,1.0,Chelsea,2
23,5.0,1.0,Chelsea,2
24,4.0,3.0,Chelsea,2
25,2.0,1.0,Burnley,2
26,2.0,2.0,Burnley,2
27,0.0,2.0,Burnley,2
28,0.0,2.0,Burnley,2
29,3.0,1.0,Burnley,2
30,2.0,0.0,Crystal Palace,3
31,4.0,0.0,Crystal Palace,3
32,5.0,0.0,Crystal Palace,3
33,0.0,2.0,Crystal Palace,3
34,0.0,1.0,Crystal Palace,3
35,1.0,1.0,Huddersfield Town,3
36,0.0,0.0,Huddersfield Town,3
37,0.0,3.0,Huddersfield Town,3
38,2.0,0.0,Huddersfield Town,3
39,0.0,1.0,Huddersfield Town,3
40,1.0,0.0,Everton,4
41,3.0,1.0,Everton,4
42,1.0,0.0,Everton,4
43,1.0,0.0,Everton,4
44,0.0,3.0,Everton,4
45,1.0,4.0,Stoke City,4
46,2.0,2.0,Stoke City,4
47,0.0,0.0,Stoke City,4
48,2.0,0.0,Stoke City,4
49,3.0,1.0,Stoke City,4
50,0.0,0.0,Southampton,5
51,1.0,2.0,Southampton,5
52,0.0,2.0,Southampton,5
53,0.0,0.0,Southampton,5
54,0.0,0.0,Southampton,5
55,0.0,2.0,Swansea City,5
56,1.0,0.0,Swansea City,5
57,1.0,1.0,Swansea City,5
58,2.0,0.0,Swansea City,5
59,1.0,0.0,Swansea City,5
60,2.0,1.0,West Bromwich Albion,6
61,3.0,1.0,West Bromwich Albion,6
62,0.0,1.0,West Bromwich Albion,6
63,2.0,2.0,West Bromwich Albion,6
64,0.0,1.0,West Bromwich Albion,6
65,2.0,1.0,Bournemouth,6
66,2.0,2.0,Bournemouth,6
67,0.0,1.0,Bournemouth,6
68,4.0,0.0,Bournemouth,6
69,4.0,0.0,Bournemouth,6
70,0.0,1.0,Brighton & Hove Albion,7
71,2.0,0.0,Brighton & Hove Albion,7
72,2.0,1.0,Brighton & Hove Albion,7
73,0.0,2.0,Brighton & Hove Albion,7
74,1.0,2.0,Brighton & Hove Albion,7
75,4.0,1.0,Manchester City,7
76,2.0,0.0,Manchester City,7
77,0.0,5.0,Manchester City,7
78,3.0,1.0,Manchester City,7
79,2.0,1.0,Manchester City,7
80,0.0,2.0,Newcastle United,8
81,4.0,1.0,Newcastle United,8
82,3.0,1.0,Newcastle United,8
83,1.0,1.0,Newcastle United,8
84,2.0,1.0,Newcastle United,8
85,2.0,3.0,Tottenham Hotspur,8
86,2.0,4.0,Tottenham Hotspur,8
87,1.0,7.0,Tottenham Hotspur,8
88,1.0,6.0,Tottenham Hotspur,8
89,2.0,1.0,Tottenham Hotspur,8
90,1.0,0.0,Manchester United,9
91,1.0,1.0,Manchester United,9
92,2.0,0.0,Manchester United,9
93,0.0,2.0,Manchester United,9
94,2.0,0.0,Manchester United,9
95,0.0,4.0,West Ham United,9
96,1.0,0.0,West Ham United,9
97,0.0,0.0,West Ham United,9
98,0.0,0.0,West Ham United,9
99,2.0,2.0,West Ham United,9
100,0.0,0.0,Swansea City,10
101,2.0,1.0,Swansea City,10
102,0.0,2.0,Swansea City,10
103,1.0,0.0,Swansea City,10
104,1.0,1.0,Swansea City,10
105,2.0,1.0,Manchester United,10
106,1.0,0.0,Manchester United,10
107,1.0,1.0,Manchester United,10
108,2.0,0.0,Manchester United,10
109,0.0,2.0,Manchester United,10
110,1.0,1.0,Bournemouth,11
111,2.0,1.0,Bournemouth,11
112,2.0,2.0,Bournemouth,11
113,0.0,1.0,Bournemouth,11
114,4.0,0.0,Bournemouth,11
115,0.0,5.0,Watford,11
116,4.0,3.0,Watford,11
117,1.0,0.0,Watford,11
118,3.0,0.0,Watford,11
119,0.0,1.0,Watford,11
120,1.0,2.0,Burnley,12
121,2.0,1.0,Burnley,12
122,2.0,2.0,Burnley,12
123,0.0,2.0,Burnley,12
124,0.0,2.0,Burnley,12
125,,,West Bromwich Albion,12
126,2.0,1.0,West Bromwich Albion,12
127,3.0,1.0,West Bromwich Albion,12
128,0.0,1.0,West Bromwich Albion,12
129,2.0,2.0,West Bromwich Albion,12
130,,,Leicester City,13
131,1.0,1.0,Leicester City,13
132,1.0,6.0,Leicester City,13
133,2.0,1.0,Leicester City,13
134,3.0,0.0,Leicester City,13
135,1.0,1.0,Brighton & Hove Albion,13
136,0.0,1.0,Brighton & Hove Albion,13
137,2.0,0.0,Brighton & Hove Albion,13
138,2.0,1.0,Brighton & Hove Albion,13
139,0.0,2.0,Brighton & Hove Albion,13
140,3.0,3.0,Liverpool,14
141,1.0,1.0,Liverpool,14
142,0.0,3.0,Liverpool,14
143,,,Liverpool,14
144,3.0,0.0,Liverpool,14
145,,,Crystal Palace,14
146,2.0,0.0,Crystal Palace,14
147,4.0,0.0,Crystal Palace,14
148,5.0,0.0,Crystal Palace,14
149,0.0,2.0,Crystal Palace,14
150,0.0,1.0,Southampton,15
151,0.0,0.0,Southampton,15
152,1.0,2.0,Southampton,15
153,0.0,2.0,Southampton,15
154,0.0,0.0,Southampton,15
155,4.0,0.0,West Ham United,15
156,1.0,2.0,West Ham United,15
157,0.0,4.0,West Ham United,15
158,1.0,0.0,West Ham United,15
159,0.0,0.0,West Ham United,15
160,0.0,1.0,Stoke City,16
161,1.0,4.0,Stoke City,16
162,2.0,2.0,Stoke City,16
163,0.0,0.0,Stoke City,16
164,2.0,0.0,Stoke City,16
165,1.0,1.0,Arsenal,16
166,1.0,2.0,Arsenal,16
167,5.0,2.0,Arsenal,16
168,1.0,1.0,Arsenal,16
169,2.0,1.0,Arsenal,16
170,0.0,0.0,Huddersfield Town,17
171,1.0,1.0,Huddersfield Town,17
172,0.0,0.0,Huddersfield Town,17
173,0.0,3.0,Huddersfield Town,17
174,2.0,0.0,Huddersfield Town,17
175,3.0,0.0,Newcastle United,17
176,0.0,2.0,Newcastle United,17
177,4.0,1.0,Newcastle United,17
178,3.0,1.0,Newcastle United,17
179,1.0,1.0,Newcastle United,17
180,0.0,2.0,Tottenham Hotspur,18
181,3.0,0.0,Tottenham Hotspur,18
182,2.0,3.0,Tottenham Hotspur,18
183,2.0,4.0,Tottenham Hotspur,18
184,1.0,7.0,Tottenham Hotspur,18
185,2.0,3.0,Chelsea,18
186,1.0,1.0,Chelsea,18
187,1.0,2.0,Chelsea,18
188,2.0,3.0,Chelsea,18
189,2.0,1.0,Chelsea,18
190,0.0,2.0,Manchester City,19
191,3.0,0.0,Manchester City,19
192,4.0,1.0,Manchester City,19
193,2.0,0.0,Manchester City,19
194,0.0,5.0,Manchester City,19
