,game_id,away,home,AwayTeam,HomeTeam,temp,weather_desc,date,home market value,home age,away market value,away age,FTAG,FTHG
0,0,Leicester City,Arsenal,Leicester,Arsenal,11C,Clear,11/08/17,"570,510,000",23.8,"226,890,000",25.5,3,4
1,194,Leicester City,Watford,Leicester,Watford,3C,Clear,26/12/17,"150,570,000",25.9,"226,890,000",25.5,1,2
2,219,Leicester City,Chelsea,Leicester,Chelsea,5C,Cloudy,13/01/18,"577,940,000",23.7,"226,890,000",25.5,0,0
3,344,Leicester City,Crystal Palace,Leicester,Crystal Palace,8C,Cloudy,28/04/18,"174,980,000",24.8,"226,890,000",25.5,0,5
4,243,Leicester City,Everton,Leicester,Everton,5C,Breezy,31/01/18,"312,080,000",23.9,"226,890,000",25.5,1,2
5,164,Leicester City,Southampton,Leicester,Southampton,7C,Showers,13/12/17,"222,750,000",24.9,"226,890,000",25.5,4,1
6,293,Leicester City,West Bromwich Albion,Leicester,West Brom,10C,Cloudy,10/03/18,"148,950,000",25.5,"226,890,000",25.5,4,1
7,294,Burnley,West Ham United,Leicester,West Brom,11C,Cloudy,10/03/18,"148,950,000",25.5,"226,890,000",25.5,4,1
8,305,Leicester City,Brighton & Hove Albion,Leicester,Brighton,4C,Cloudy,31/03/18,"96,080,000",25.8,"226,890,000",25.5,2,0
9,25,Leicester City,Manchester United,Leicester,Manchester United,15C,Cloudy,26/08/17,"580,590,000",25.1,"226,890,000",25.5,0,2
10,86,Leicester City,Swansea City,Leicester,Swansea,12C,Rain,21/10/17,"154,210,000",25.3,"226,890,000",25.5,2,1
11,61,Leicester City,Bournemouth,Leicester,Bournemouth,12C,Cloudy,30/09/17,"104,490,000",25.0,"226,890,000",25.5,0,0
12,323,Leicester City,Burnley,Leicester,Burnley,7C,Cloudy,14/04/18,"87,170,000",26.8,"226,890,000",25.5,1,2
13,202,Leicester City,Liverpool,Leicester,Liverpool,3C,Cloudy,30/12/17,"445,500,000",24.0,"226,890,000",25.5,1,2
14,100,Leicester City,Stoke City,Leicester,Stoke,10C,Showers,04/11/17,"160,020,000",25.2,"226,890,000",25.5,2,2
15,42,Leicester City,Huddersfield Town,Leicester,Huddersfield,8C,Cloudy,16/09/17,"57,960,000",24.6,"226,890,000",25.5,1,1
16,376,Leicester City,Tottenham Hotspur,Leicester,Tottenham,8C,Cloudy,13/05/18,"481,420,000",23.8,"226,890,000",25.5,4,5
17,264,Leicester City,City,Leicester,City,2C,Cloudy,10/02/18,"554,720,000",24.1,"226,890,000",25.5,1,5
18,120,Leicester City,West Ham United,Leicester,West Ham,7C,Cloudy,24/11/17,"238,370,000",24.3,"226,890,000",25.5,1,1
19,31,Bournemouth,Arsenal,Bournemouth,Arsenal,11C,Cloudy,09/09/17,"570,510,000",23.8,"104,490,000",25.0,0,3
20,308,Bournemouth,Watford,Bournemouth,Watford,3C,Cloudy,31/03/18,"150,570,000",25.9,"104,490,000",25.0,2,2
21,242,Bournemouth,Chelsea,Bournemouth,Chelsea,8C,Cloudy,31/01/18,"577,940,000",23.7,"104,490,000",25.0,3,0
22,151,Bournemouth,Crystal Palace,Bournemouth,Crystal Palace,0C,Clear,09/12/17,"174,980,000",24.8,"104,490,000",25.0,2,2
23,52,Bournemouth,Everton,Bournemouth,Everton,13C,Cloudy,23/09/17,"312,080,000",23.9,"104,490,000",25.0,1,2
24,347,Bournemouth,Southampton,Bournemouth,Southampton,8C,Cloudy,28/04/18,"222,750,000",24.9,"104,490,000",25.0,1,2
25,6,Bournemouth,West Bromwich Albion,Bournemouth,West Brom,14C,Cloudy,12/08/17,"148,950,000",25.5,"104,490,000",25.0,0,1
