Game,Group,Team,Opponent,Home/Away,Team 1 Score,Team 2 Score,WDL,Pens?,Goals For,Goals Against,Pen Shootout For,Pen Shootout Against,Attempts,On-Target,Off-Target,Blocked,Woodwork,Corners,Offsides,Ball possession %,Pass Accuracy %,Passes,Passes Completed,Distance Covered km,Balls recovered,Tackles,Blocks,Clearances,Yellow cards,Red Cards,Second Yellow Card leading to Red Card,Fouls Committed
1,A,Russia,Saudi Arabia,home,5,0,W,,5,0,,,13,7,3,3,0,6,3,40,78,306,240,118,53,9,3,19,1,0,0,22
2,A,Egypt,Uruguay,home,0,1,L,,0,1,,,8,3,3,2,0,0,1,43,78,395,308,112,57,12,4,32,2,0,0,12
3,B,Morocco,Iran,home,0,1,L,,0,1,,,13,3,6,4,0,5,0,64,86,433,371,101,38,9,1,16,1,0,0,22
4,B,Portugal,Spain,home,3,3,D,,3,3,,,8,3,2,3,0,4,1,39,87,366,320,102,36,8,2,17,1,0,0,12
5,C,France,Australia,home,2,1,W,,2,1,,,12,5,4,3,0,5,0,51,87,484,423,103,52,6,1,23,1,0,0,16
6,D,Argentina,Iceland,home,1,1,D,,1,1,,,26,7,9,10,0,10,0,72,92,718,657,101,40,8,1,18,0,0,0,10
7,C,Peru,Denmark,home,0,1,L,,0,1,,,18,6,7,5,0,3,5,52,85,394,334,104,42,12,2,19,1,0,0,10
8,D,Croatia,Nigeria,home,2,0,W,,2,0,,,11,2,7,2,0,6,2,54,84,462,386,104,43,16,7,32,2,0,0,20
9,E,Costa Rica,Serbia,home,0,1,L,,0,1,,,10,3,3,4,0,5,1,50,83,428,355,107,38,10,2,30,2,0,0,18
10,F,Germany,Mexico,home,0,1,L,,0,1,,,25,9,9,7,2,8,1,60,88,595,524,110,31,9,2,12,2,0,0,10
11,E,Brazil,Switzerland,home,1,1,D,,1,1,,,20,4,9,7,0,7,1,52,88,521,460,103,51,4,0,14,1,0,0,12
12,F,Sweden,Korea Republic,home,1,0,W,,1,0,,,15,4,5,6,0,6,1,52,84,417,352,102,43,9,3,30,1,0,0,20
13,G,Belgium,Panama,home,3,0,W,,3,0,,,15,6,7,2,0,9,1,61,89,544,483,102,41,1,0,12,3,0,0,17
14,G,Tunisia,England,home,1,2,L,,1,2,,,6,1,3,2,0,2,2,41,82,326,266,103,30,12,3,26,0,0,0,14
15,H,Colombia,Japan,home,1,2,L,,1,2,,,8,3,1,4,0,3,2,41,82,352,290,93,40,15,3,22,2,1,0,15
16,H,Poland,Senegal,home,1,2,L,,1,2,,,10,4,5,1,0,3,3,57,88,552,483,110,43,11,2,23,1,0,0,8
17,A,Russia,Egypt,home,3,1,W,,3,1,,,11,3,5,3,0,7,0,47,76,380,289,115,59,9,4,47,1,0,0,11
18,B,Portugal,Morocco,home,1,0,W,,1,0,,,10,2,4,4,0,5,1,47,76,387,293,105,49,13,2,36,1,0,0,19
19,A,Uruguay,Saudi Arabia,home,1,0,W,,1,0,,,13,4,6,3,0,3,1,47,88,521,456,101,43,6,2,19,0,0,0,10
20,B,IR Iran,Spain,home,0,1,L,,0,1,,,5,0,5,0,0,2,2,30,69,219,152,106,50,17,8,48,2,0,0,14
21,C,Denmark,Australia,home,1,1,D,,1,1,,,10,5,5,0,0,3,1,49,88,458,403,112,41,14,4,26,2,0,0,7
22,C,France,Peru,home,1,0,W,,1,0,,,12,4,6,2,0,5,0,44,77,405,311,103,46,7,2,24,2,0,0,11
