Year,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,RoundID,MatchID,Home Team Initials,Away Team Initials
1930,Pocitos,Montevideo ,France,4,1,Mexico,4444,201,1096,FRA,MEX
1930,Parque Central,Montevideo ,USA,3,0,Belgium,18346,201,1090,USA,BEL
1930,Parque Central,Montevideo ,Yugoslavia,2,1,Brazil,24059,201,1093,YUG,BRA
1930,Pocitos,Montevideo ,Romania,3,1,Peru,2549,201,1098,ROU,PER
1930,Parque Central,Montevideo ,Argentina,1,0,France,23409,201,1085,ARG,FRA
1930,Parque Central,Montevideo ,Chile,3,0,Mexico,9249,201,1095,CHI,MEX
1930,Parque Central,Montevideo ,Yugoslavia,4,0,Bolivia,18306,201,1092,YUG,BOL
1930,Parque Central,Montevideo ,USA,3,0,Paraguay,18306,201,1097,USA,PAR
1930,Estadio Centenario,Montevideo ,Uruguay,1,0,Peru,57735,201,1099,URU,PER
1930,Estadio Centenario,Montevideo ,Chile,1,0,France,2000,201,1094,CHI,FRA
1930,Estadio Centenario,Montevideo ,Argentina,6,3,Mexico,42100,201,1086,ARG,MEX
1930,Estadio Centenario,Montevideo ,Brazil,4,0,Bolivia,25466,201,1091,BRA,BOL
1930,Estadio Centenario,Montevideo ,Paraguay,1,0,Belgium,12000,201,1089,PAR,BEL
1930,Estadio Centenario,Montevideo ,Uruguay,4,0,Romania,70022,201,1100,URU,ROU
1930,Estadio Centenario,Montevideo ,Argentina,3,1,Chile,41459,201,1084,ARG,CHI
1930,Estadio Centenario,Montevideo ,Argentina,6,1,USA,72886,202,1088,ARG,USA
1930,Estadio Centenario,Montevideo ,Uruguay,6,1,Yugoslavia,79867,202,1101,URU,YUG
1930,Estadio Centenario,Montevideo ,Uruguay,4,2,Argentina,68346,405,1087,URU,ARG
1934,Stadio Benito Mussolini,Turin ,Austria,3,2,France,16000,204,1104,AUT,FRA
1934,Giorgio Ascarelli,Naples ,Hungary,4,2,Egypt,9000,204,1119,HUN,EGY
1934,San Siro,Milan ,Switzerland,3,2,Netherlands,33000,204,1133,SUI,NED
1934,Littorale,Bologna ,Sweden,3,2,Argentina,14000,204,1102,SWE,ARG
1934,Giovanni Berta,Florence ,Germany,5,2,Belgium,8000,204,1108,GER,BEL
1934,Luigi Ferraris,Genoa ,Spain,3,1,Brazil,21000,204,1111,ESP,BRA
1934,Nazionale PNF,Rome ,Italy,7,1,USA,25000,204,1135,ITA,USA
1934,Littorio,Trieste ,Czechoslovakia,2,1,Romania,9000,204,1141,TCH,ROU
1934,Stadio Benito Mussolini,Turin ,Czechoslovakia,3,2,Switzerland,12000,418,1143,TCH,SUI
1934,San Siro,Milan ,Germany,2,1,Sweden,3000,418,1129,GER,SWE
1934,Giovanni Berta,Florence ,Italy,1,1,Spain,35000,418,1122,ITA,ESP
1934,Littorale,Bologna ,Austria,2,1,Hungary,23000,418,1106,AUT,HUN
1934,Giovanni Berta,Florence ,Italy,1,0,Spain,43000,418,1123,ITA,ESP
1934,San Siro,Milan ,Italy,1,0,Austria,35000,3492,1107,ITA,AUT
1934,Nazionale PNF,Rome ,Czechoslovakia,3,1,Germany,15000,3492,1130,TCH,GER
1934,Giorgio Ascarelli,Naples ,Germany,3,2,Austria,7000,3491,1105,GER,AUT
1934,Nazionale PNF,Rome ,Italy,2,1,Czechoslovakia,55000,3490,1134,ITA,TCH
1938,Parc des Princes,Paris ,Switzerland,1,1,Germany,27152,206,1165,SUI,GER
1938,Velodrome Municipale,Reims ,Hungary,6,0,Dutch East Indies,9000,206,1173,HUN,INH
1938,Stade Olympique,Colombes ,France,3,1,Belgium,30454,206,1146,FRA,BEL
1938,Stade Municipal,Toulouse ,Cuba,3,3,Romania,7000,206,1156,CUB,ROU
